bbox_height,bbox_width,center_x,center_y,confidence,delta_pan,delta_tilt,detector_source,error_x,error_y,event,frame_index,label,mode,pan_angle,source_path,tilt_angle,timestamp,x1,x2,y1,y2
21,35,421,264,0.9167,,,YOLO,,,detection,1,drone,Mode 2,,0,,2026-05-20T15:29:30,404,439,254,275
21,34,422,264,0.9235,,,YOLO,,,detection,63,drone,Mode 2,,0,,2026-05-20T15:29:34,405,439,254,275
21,35,421,264,0.9191,,,YOLO,,,detection,119,drone,Mode 2,,0,,2026-05-20T15:29:38,404,439,254,275
21,34,422,264,0.9206,,,YOLO,,,detection,176,drone,Mode 2,,0,,2026-05-20T15:29:41,405,439,254,275
21,35,421,264,0.9176,,,YOLO,,,detection,232,drone,Mode 2,,0,,2026-05-20T15:29:46,404,439,254,275
21,35,421,264,0.9195,,,YOLO,,,detection,304,drone,Mode 2,,0,,2026-05-20T15:29:50,404,439,254,275
21,35,421,264,0.9208,,,YOLO,,,detection,379,drone,Mode 2,,0,,2026-05-20T15:29:53,404,439,254,275
,,,,,3.79,0.0,,0.316,0.1,auto_tracking,,,Mode 2,3.79,,0.0,2026-05-20T15:29:53,,,,
20,34,421,262,0.8398,,,YOLO,,,detection,452,drone,Mode 2,,0,,2026-05-20T15:29:57,404,438,252,272
,,,,,3.79,0.0,,0.316,0.092,auto_tracking,,,Mode 2,7.57,,0.0,2026-05-20T15:29:57,,,,
20,35,343,264,0.9181,,,YOLO,,,detection,604,drone,Mode 2,,0,,2026-05-20T15:30:05,326,361,254,274
,,,,,3.0,0.0,,0.072,0.1,auto_tracking,,,Mode 2,10.57,,0.0,2026-05-20T15:30:05,,,,
20,35,343,264,0.918,,,YOLO,,,detection,676,drone,Mode 2,,0,,2026-05-20T15:30:09,326,361,254,274
,,,,,3.0,0.0,,0.072,0.1,auto_tracking,,,Mode 2,13.57,,0.0,2026-05-20T15:30:09,,,,
21,35,254,264,0.92,,,YOLO,,,detection,825,drone,Mode 2,,0,,2026-05-20T15:30:16,237,272,254,275
,,,,,-3.0,0.0,,-0.206,0.1,auto_tracking,,,Mode 2,10.57,,0.0,2026-05-20T15:30:16,,,,
21,35,254,264,0.9195,,,YOLO,,,detection,897,drone,Mode 2,,0,,2026-05-20T15:30:20,237,272,254,275
,,,,,-3.0,0.0,,-0.206,0.1,auto_tracking,,,Mode 2,7.57,,0.0,2026-05-20T15:30:20,,,,
21,34,274,264,0.9211,,,YOLO,,,detection,971,drone,Mode 2,,0,,2026-05-20T15:30:23,257,291,254,275
,,,,,-3.0,0.0,,-0.144,0.1,auto_tracking,,,Mode 2,4.57,,0.0,2026-05-20T15:30:23,,,,
21,35,300,264,0.9182,,,YOLO,,,detection,1026,drone,Mode 2,,0,,2026-05-20T15:30:27,283,318,254,275
,,,,,-3.0,0.0,,-0.062,0.1,auto_tracking,,,Mode 2,1.57,,0.0,2026-05-20T15:30:27,,,,
20,34,342,264,0.9239,,,YOLO,,,detection,1081,drone,Mode 2,,0,,2026-05-20T15:30:31,325,359,254,274
,,,,,3.0,0.0,,0.069,0.1,auto_tracking,,,Mode 2,4.57,,0.0,2026-05-20T15:30:31,,,,
21,34,367,263,0.9166,,,YOLO,,,detection,1139,drone,Mode 2,,0,,2026-05-20T15:30:35,350,384,253,274
,,,,,3.0,0.0,,0.147,0.096,auto_tracking,,,Mode 2,7.57,,0.0,2026-05-20T15:30:35,,,,
20,33,306,264,0.9245,,,YOLO,,,detection,1195,drone,Mode 2,,0,,2026-05-20T15:30:38,290,323,254,274
,,,,,-3.0,0.0,,-0.044,0.1,auto_tracking,,,Mode 2,4.57,,0.0,2026-05-20T15:30:38,,,,
21,35,255,264,0.9168,,,YOLO,,,detection,1250,drone,Mode 2,,0,,2026-05-20T15:30:42,238,273,254,275
,,,,,-3.0,0.0,,-0.203,0.1,auto_tracking,,,Mode 2,1.57,,0.0,2026-05-20T15:30:42,,,,
21,35,275,264,0.9165,,,YOLO,,,detection,1305,drone,Mode 2,,0,,2026-05-20T15:30:46,258,293,254,275
