epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.6285,1.09671,0.74036,1.02066,0.97672,0.79077,0.90319,0.71626,0.78813,0.51093,0.92942,0.00983051,0.00327684,0.00983051,0.00327684,0.00983051,0.00327684,0.00983051,0.00327684
2,24.8131,0.97154,0.57343,0.94686,0.97273,0.89538,0.94611,0.74732,0.78888,0.463,0.90843,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708
3,34.7481,0.94894,0.52834,0.93708,0.98056,0.93108,0.96683,0.76935,0.76517,0.43292,0.90152,0.0297124,0.00990413,0.0297124,0.00990413,0.0297124,0.00990413,0.0297124,0.00990413
4,44.315,0.93532,0.51666,0.93578,0.97781,0.95077,0.97384,0.79377,0.70607,0.39952,0.88565,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,53.8772,0.89006,0.48097,0.92105,0.97487,0.95506,0.97531,0.78559,0.73137,0.41071,0.88486,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,63.415,0.85936,0.47025,0.90564,0.97214,0.96638,0.97701,0.77799,0.76404,0.42152,0.88887,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,72.9513,0.84587,0.44672,0.90665,0.977,0.96,0.98006,0.80202,0.70518,0.43323,0.8849,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,82.5323,0.82862,0.44851,0.90384,0.99367,0.96543,0.97989,0.8054,0.72134,0.39298,0.87748,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,92.066,0.79891,0.43637,0.89092,0.98099,0.96615,0.97442,0.80124,0.70327,0.38415,0.88013,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,101.649,0.79988,0.42954,0.88912,0.98429,0.96417,0.98171,0.81519,0.67261,0.36238,0.87064,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,111.194,0.78706,0.42338,0.88643,0.99485,0.96615,0.98365,0.79303,0.73356,0.34573,0.88181,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,120.69,0.7679,0.41439,0.87801,0.98837,0.96308,0.97724,0.82364,0.63815,0.36198,0.86819,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,130.348,0.75323,0.40672,0.87404,0.987,0.95692,0.97796,0.81813,0.6484,0.36165,0.86936,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,139.87,0.74338,0.39662,0.8783,0.9874,0.96457,0.97428,0.81599,0.67235,0.36135,0.87066,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
