epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1699.68,1.43325,1.08984,1.5592,0.91595,0.84818,0.92807,0.55303,1.39068,0.74657,1.53606,0.00999863,0.00333288,0.00999863,0.00333288,0.00999863,0.00333288,0.00999863,0.00333288
2,3230.81,1.44801,1.07493,1.57508,0.93253,0.8982,0.95307,0.59866,1.30011,0.65043,1.45922,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597
3,4700.23,1.43063,1.054,1.56502,0.94365,0.91859,0.96161,0.62118,1.2495,0.62025,1.42034,0.0298815,0.00996051,0.0298815,0.00996051,0.0298815,0.00996051,0.0298815,0.00996051
4,6150.02,1.38015,0.97678,1.53015,0.95288,0.93898,0.96825,0.64164,1.20465,0.55203,1.38807,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,7598.61,1.30273,0.86729,1.46614,0.95883,0.95265,0.975,0.65646,1.17165,0.51267,1.35469,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,9046.24,1.2642,0.80576,1.43218,0.96017,0.95679,0.97702,0.66503,1.1529,0.48812,1.3344,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,10494.2,1.23382,0.77064,1.40873,0.9634,0.95797,0.97813,0.67127,1.14082,0.4769,1.32085,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,11945.3,1.20796,0.74301,1.38062,0.96414,0.96109,0.97859,0.67486,1.13045,0.46886,1.30832,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,13396.8,1.18752,0.72124,1.37087,0.96502,0.96203,0.97928,0.67868,1.12076,0.46147,1.2996,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,14847.4,1.16835,0.70258,1.3588,0.96571,0.9628,0.97956,0.68158,1.11274,0.45378,1.29304,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,16298,1.15283,0.68572,1.34373,0.9667,0.96342,0.97981,0.68455,1.10457,0.44761,1.28595,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,17748.4,1.13976,0.67065,1.33304,0.96681,0.96501,0.98012,0.68765,1.09645,0.44142,1.27884,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,19199.6,1.12543,0.65832,1.31942,0.96682,0.96675,0.98076,0.6901,1.0889,0.43525,1.27102,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,20649.4,1.11641,0.64334,1.30952,0.96787,0.96719,0.98117,0.69275,1.07988,0.42921,1.26302,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,22099.4,1.10148,0.63603,1.30199,0.96954,0.968,0.98209,0.69584,1.07152,0.42328,1.25579,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,23549.6,1.09073,0.62607,1.29286,0.96952,0.96955,0.98218,0.69903,1.06419,0.41641,1.24906,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,25000,1.07879,0.6156,1.28258,0.96958,0.97036,0.98372,0.70204,1.05669,0.41006,1.24246,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,26450.2,1.0691,0.60617,1.28073,0.96973,0.9713,0.98473,0.70495,1.04915,0.4045,1.23649,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
