epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.65251,1.05203,0.69802,1.00108,0.96898,0.77619,0.85843,0.68157,0.80411,0.53931,0.94173,0.000651515,0.000651515,0.000651515
2,13.7334,1.00265,0.56724,0.97261,0.95208,0.86376,0.93741,0.69917,0.85169,0.4611,0.97036,0.00128556,0.00128556,0.00128556
3,19.3316,0.96956,0.53323,0.94075,0.93087,0.90062,0.95473,0.70603,0.88404,0.52676,0.98153,0.0018866,0.0018866,0.0018866
4,24.4387,0.99238,0.54402,0.94226,0.95348,0.8912,0.94355,0.71641,0.85516,0.45347,0.96906,0.0018515,0.0018515,0.0018515
5,29.6002,0.90978,0.48803,0.92834,0.92351,0.89992,0.95633,0.69129,0.98533,0.47217,0.99485,0.001802,0.001802,0.001802
6,34.6027,0.9745,0.50929,0.94157,0.93925,0.91304,0.96196,0.71973,0.85627,0.4573,0.95491,0.0017525,0.0017525,0.0017525
7,39.6399,0.88098,0.48039,0.91316,0.93791,0.9382,0.96406,0.74339,0.82012,0.41121,0.9621,0.001703,0.001703,0.001703
8,44.7046,0.89762,0.4653,0.92904,0.93023,0.93168,0.96515,0.73126,0.82135,0.43846,0.95716,0.0016535,0.0016535,0.0016535
9,49.6283,0.86014,0.47015,0.92676,0.95416,0.91925,0.96998,0.71152,0.90742,0.47352,0.9747,0.001604,0.001604,0.001604
10,54.5207,0.83314,0.45084,0.90855,0.92865,0.95652,0.97443,0.73053,0.87058,0.41483,0.96117,0.0015545,0.0015545,0.0015545
11,59.3365,0.85445,0.46914,0.90577,0.93769,0.95652,0.97248,0.71193,0.91127,0.41252,0.9956,0.001505,0.001505,0.001505
12,64.1783,0.81781,0.44025,0.89255,0.94479,0.91304,0.9629,0.72364,0.86515,0.40832,0.97594,0.0014555,0.0014555,0.0014555
13,68.9785,0.85356,0.43852,0.92711,0.93172,0.9441,0.96155,0.71577,0.89945,0.42829,0.98046,0.001406,0.001406,0.001406
14,73.7727,0.80687,0.41938,0.89726,0.93361,0.93168,0.96341,0.72217,0.90274,0.40196,0.98783,0.0013565,0.0013565,0.0013565
15,78.5839,0.79319,0.42155,0.87923,0.97741,0.92547,0.96725,0.71308,0.92669,0.421,0.99881,0.001307,0.001307,0.001307
16,83.378,0.80292,0.4217,0.89744,0.95619,0.94887,0.96829,0.7466,0.82819,0.37524,0.96421,0.0012575,0.0012575,0.0012575
17,88.3113,0.7643,0.39721,0.8856,0.96087,0.95652,0.98047,0.72756,0.89588,0.3884,0.97231,0.001208,0.001208,0.001208
18,93.1012,0.77441,0.40694,0.88969,0.96768,0.9297,0.97026,0.74416,0.82093,0.36823,0.96125,0.0011585,0.0011585,0.0011585
19,97.899,0.78084,0.40419,0.88847,0.93505,0.96273,0.97825,0.72688,0.87956,0.38371,0.96875,0.001109,0.001109,0.001109
20,102.694,0.74631,0.38638,0.87599,0.9615,0.93075,0.97701,0.7357,0.85363,0.37478,0.9636,0.0010595,0.0010595,0.0010595
21,107.477,0.75863,0.39275,0.88873,0.96091,0.93168,0.96854,0.73008,0.8623,0.37747,0.96891,0.00101,0.00101,0.00101
22,112.282,0.73857,0.38816,0.87516,0.98419,0.93789,0.98066,0.73937,0.85486,0.37116,0.96102,0.0009605,0.0009605,0.0009605
23,117.077,0.73523,0.38807,0.86966,0.9619,0.94078,0.97742,0.73383,0.87434,0.39318,0.97389,0.000911,0.000911,0.000911
24,121.869,0.70184,0.37985,0.87253,0.94002,0.97352,0.98121,0.73286,0.89391,0.37697,0.98146,0.0008615,0.0008615,0.0008615
25,126.663,0.73887,0.38695,0.8827,0.96608,0.95652,0.98986,0.74848,0.82224,0.35935,0.96285,0.000812,0.000812,0.000812
26,131.64,0.72684,0.37876,0.88065,0.95292,0.95652,0.97869,0.73886,0.83635,0.36338,0.96164,0.0007625,0.0007625,0.0007625
27,136.403,0.67312,0.35936,0.86668,0.96791,0.93663,0.98024,0.75507,0.81624,0.35423,0.95974,0.000713,0.000713,0.000713
28,141.259,0.67821,0.36104,0.85814,0.9412,0.95031,0.96988,0.74819,0.81995,0.36455,0.96137,0.0006635,0.0006635,0.0006635
29,146.046,0.6914,0.36553,0.86073,0.98726,0.9441,0.99127,0.74326,0.82159,0.35156,0.96995,0.000614,0.000614,0.000614
30,150.836,0.68222,0.34586,0.85939,0.97859,0.93168,0.96175,0.74047,0.83392,0.35436,0.97337,0.0005645,0.0005645,0.0005645
31,157.604,0.63231,0.31314,0.86442,0.96771,0.93064,0.97868,0.74102,0.83164,0.34864,0.9816,0.000515,0.000515,0.000515
32,162.469,0.60222,0.29005,0.85202,0.97789,0.91925,0.97064,0.75368,0.80198,0.35089,0.9662,0.0004655,0.0004655,0.0004655
