epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6252,0.8792,0.41483,1.00892,0.9865,0.97872,0.97468,0.81582,0.76422,0.29823,0.95979,0.00044,0.00044,0.00044
2,16.9177,0.752,0.33678,0.93783,0.98783,0.97872,0.97478,0.81106,0.78324,0.29771,0.97106,0.00089109,0.00089109,0.00089109
3,23.1824,0.76016,0.33823,0.91812,0.9956,0.97872,0.975,0.8208,0.7567,0.28083,0.97126,0.00133307,0.00133307,0.00133307
4,29.4723,0.75503,0.33188,0.92355,0.99401,0.97872,0.975,0.80313,0.78473,0.30866,0.97651,0.00176595,0.00176595,0.00176595
5,35.6966,0.73419,0.33347,0.90812,0.98906,0.97872,0.975,0.80541,0.77578,0.30785,0.98088,0.0019208,0.0019208,0.0019208
6,41.9251,0.75714,0.35092,0.92067,0.98871,0.97872,0.975,0.82796,0.70189,0.28624,0.94413,0.001901,0.001901,0.001901
7,48.2063,0.69973,0.32535,0.90797,0.99295,0.97872,0.975,0.81994,0.7615,0.29779,0.95318,0.0018812,0.0018812,0.0018812
8,54.4245,0.69558,0.33229,0.90729,0.98462,0.97872,0.975,0.83303,0.72133,0.29813,0.94806,0.0018614,0.0018614,0.0018614
9,60.8043,0.64271,0.31731,0.88677,0.98804,0.97872,0.97478,0.8373,0.69617,0.27489,0.94045,0.0018416,0.0018416,0.0018416
10,67.0753,0.67253,0.3154,0.90374,0.98636,0.97872,0.97489,0.8392,0.70745,0.26914,0.94439,0.0018218,0.0018218,0.0018218
11,73.3479,0.66968,0.32119,0.89804,0.99486,0.97872,0.975,0.83467,0.71105,0.27346,0.94355,0.001802,0.001802,0.001802
12,79.5948,0.66097,0.31688,0.8924,0.99685,0.97872,0.98288,0.83723,0.73366,0.27939,0.9465,0.0017822,0.0017822,0.0017822
13,85.8231,0.65913,0.32682,0.89754,0.99663,0.97872,0.975,0.82749,0.73388,0.27718,0.94481,0.0017624,0.0017624,0.0017624
14,92.0631,0.61954,0.29588,0.86542,0.99537,0.97872,0.975,0.82342,0.70754,0.26808,0.93731,0.0017426,0.0017426,0.0017426
15,98.2856,0.66021,0.31058,0.89801,1,0.97676,0.975,0.82471,0.74052,0.27921,0.95788,0.0017228,0.0017228,0.0017228
16,104.544,0.66069,0.31334,0.88991,0.99961,0.97872,0.98479,0.83153,0.72013,0.27712,0.93938,0.001703,0.001703,0.001703
17,110.638,0.61439,0.30352,0.87733,0.99957,0.97872,0.975,0.8497,0.68242,0.2642,0.92642,0.0016832,0.0016832,0.0016832
18,116.911,0.6421,0.31038,0.87886,1,0.97844,0.975,0.84141,0.67976,0.25843,0.92798,0.0016634,0.0016634,0.0016634
19,123.158,0.63352,0.30474,0.89027,0.9978,0.97872,0.975,0.83161,0.69927,0.28087,0.92949,0.0016436,0.0016436,0.0016436
