epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8458,0.72213,0.37809,0.87107,0.97192,0.95845,0.9795,0.81916,0.72201,0.32476,0.8649,0.000659091,0.000659091,0.000659091
2,40.4318,0.81748,0.41488,0.89188,0.97793,0.95456,0.97407,0.76583,0.83699,0.41073,0.9032,0.00129295,0.00129295,0.00129295
3,58.2878,0.86378,0.43853,0.91433,0.96902,0.94154,0.97666,0.72391,0.95424,0.66494,0.94738,0.0018938,0.0018938,0.0018938
4,75.8413,0.86421,0.43971,0.90655,0.97614,0.95077,0.9707,0.76322,0.86213,0.42085,0.91559,0.0018515,0.0018515,0.0018515
5,93.3563,0.86016,0.44575,0.89868,0.97797,0.96,0.97172,0.75431,0.89259,0.44062,0.9335,0.001802,0.001802,0.001802
6,111.142,0.83507,0.43424,0.90306,0.97812,0.96272,0.97711,0.73513,0.94881,0.44906,0.93864,0.0017525,0.0017525,0.0017525
7,128.712,0.83094,0.42253,0.8979,0.96871,0.96308,0.97041,0.75528,0.91625,0.40368,0.92518,0.001703,0.001703,0.001703
8,146.749,0.82882,0.42384,0.89426,0.96808,0.96,0.97182,0.7185,1.03509,0.45758,0.96575,0.0016535,0.0016535,0.0016535
9,164.445,0.79948,0.41294,0.88762,0.98123,0.96517,0.9783,0.76874,0.86985,0.37486,0.92204,0.001604,0.001604,0.001604
10,182.538,0.75291,0.39392,0.87624,0.98312,0.96615,0.98354,0.72778,0.97774,0.43034,0.9369,0.0015545,0.0015545,0.0015545
11,200.539,0.75722,0.38844,0.87513,0.99479,0.96,0.98033,0.77507,0.85628,0.3965,0.9124,0.001505,0.001505,0.001505
12,218.9,0.71588,0.37722,0.8642,0.96427,0.96923,0.98079,0.76441,0.88206,0.41273,0.92545,0.0014555,0.0014555,0.0014555
13,236.874,0.73236,0.37111,0.86903,0.98782,0.96308,0.9787,0.82428,0.71188,0.34244,0.87712,0.001406,0.001406,0.001406
14,254.476,0.7282,0.3729,0.87195,0.9905,0.96229,0.98297,0.79912,0.7656,0.34977,0.88396,0.0013565,0.0013565,0.0013565
15,272.15,0.71781,0.36764,0.86787,0.99562,0.95692,0.98169,0.74185,0.91313,0.37576,0.91447,0.001307,0.001307,0.001307
16,290.077,0.69589,0.35297,0.86803,0.99043,0.95502,0.97912,0.81164,0.70746,0.32557,0.87403,0.0012575,0.0012575,0.0012575
17,308.023,0.68068,0.35581,0.8646,0.98444,0.96923,0.97828,0.8118,0.70972,0.31901,0.86926,0.001208,0.001208,0.001208
18,326.084,0.67987,0.35089,0.85424,0.98187,0.95692,0.97272,0.82971,0.66747,0.31125,0.86492,0.0011585,0.0011585,0.0011585
19,344.335,0.66181,0.34622,0.85903,0.99521,0.96923,0.97484,0.81733,0.68712,0.31247,0.85771,0.001109,0.001109,0.001109
20,362.654,0.65418,0.33649,0.84982,0.99009,0.96615,0.97421,0.81302,0.71384,0.33082,0.87375,0.0010595,0.0010595,0.0010595
21,381.022,0.64639,0.34217,0.84795,0.98431,0.96492,0.97421,0.82202,0.68012,0.31989,0.86621,0.00101,0.00101,0.00101
22,398.887,0.62236,0.3227,0.84061,0.98843,0.96308,0.98143,0.81547,0.69544,0.31471,0.87376,0.0009605,0.0009605,0.0009605
23,416.699,0.61987,0.3186,0.84541,0.97785,0.97538,0.98121,0.7986,0.75041,0.30716,0.87308,0.000911,0.000911,0.000911
24,434.938,0.60681,0.31418,0.84304,0.97528,0.97131,0.97858,0.82954,0.69514,0.30952,0.8706,0.0008615,0.0008615,0.0008615
25,452.94,0.58257,0.29769,0.835,0.99372,0.96,0.98182,0.81033,0.74736,0.32579,0.88573,0.000812,0.000812,0.000812
26,470.295,0.58851,0.30492,0.8298,0.98927,0.96615,0.98314,0.84849,0.63797,0.29231,0.86327,0.0007625,0.0007625,0.0007625
27,487.696,0.5985,0.30469,0.83335,0.99368,0.96829,0.9831,0.83493,0.68474,0.30155,0.87114,0.000713,0.000713,0.000713
28,505.052,0.58208,0.30225,0.83271,0.99314,0.96923,0.98144,0.84312,0.62377,0.28362,0.85229,0.0006635,0.0006635,0.0006635
29,522.422,0.56929,0.29533,0.82997,0.99327,0.96615,0.97453,0.84121,0.62114,0.27923,0.84617,0.000614,0.000614,0.000614
30,539.763,0.56633,0.29027,0.82981,0.99052,0.96416,0.97459,0.84979,0.61411,0.27059,0.85222,0.0005645,0.0005645,0.0005645
31,558.476,0.51162,0.25553,0.81903,0.99492,0.96308,0.97478,0.85215,0.59046,0.27657,0.84612,0.000515,0.000515,0.000515
32,575.916,0.49277,0.24747,0.81334,0.9923,0.96615,0.98339,0.84329,0.63587,0.28471,0.85752,0.0004655,0.0004655,0.0004655
33,593.297,0.49543,0.25,0.81608,0.98991,0.96615,0.98229,0.84768,0.6141,0.27925,0.85333,0.000416,0.000416,0.000416
34,610.697,0.47275,0.24355,0.81846,0.98746,0.96893,0.98312,0.85405,0.60131,0.2793,0.84366,0.0003665,0.0003665,0.0003665
35,628.148,0.46454,0.23396,0.81471,0.99679,0.9569,0.97453,0.86009,0.58492,0.27209,0.84439,0.000317,0.000317,0.000317
36,645.594,0.45266,0.23392,0.80776,0.98442,0.97213,0.97446,0.86117,0.57496,0.2687,0.84046,0.0002675,0.0002675,0.0002675
37,663.061,0.42994,0.22746,0.80086,0.9937,0.97066,0.97453,0.85036,0.59324,0.27401,0.84375,0.000218,0.000218,0.000218
38,680.471,0.42719,0.22518,0.80113,0.99684,0.97125,0.97459,0.85713,0.57129,0.25958,0.83916,0.0001685,0.0001685,0.0001685
39,697.885,0.41567,0.21748,0.80355,0.99268,0.96923,0.9745,0.86384,0.56703,0.26286,0.83563,0.000119,0.000119,0.000119
40,715.347,0.40372,0.21581,0.78862,0.99368,0.9683,0.97456,0.86587,0.54993,0.26151,0.83383,6.95e-05,6.95e-05,6.95e-05
