epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,206.949,1.55088,1.88563,1.5566,0.7866,0.70041,0.78704,0.39623,1.68077,1.27819,1.64572,0.00999176,0.00333059,0.00999176,0.00333059,0.00999176,0.00333059,0.00999176,0.00333059
2,378.318,1.59866,1.40335,1.60254,0.73242,0.63205,0.69026,0.3505,1.72963,1.45417,1.82288,0.0195959,0.00653197,0.0195959,0.00653197,0.0195959,0.00653197,0.0195959,0.00653197
3,542.978,1.67175,1.48924,1.68238,0.73839,0.6455,0.72313,0.3539,1.72757,1.45577,1.81833,0.0288041,0.00960136,0.0288041,0.00960136,0.0288041,0.00960136,0.0288041,0.00960136
4,701.979,1.67568,1.49289,1.71273,0.73954,0.67774,0.74645,0.37143,1.72643,1.21907,1.80648,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,861.229,1.59767,1.3444,1.65939,0.85843,0.7303,0.84102,0.44459,1.58786,1.02505,1.69214,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1020.92,1.55302,1.24497,1.61439,0.88142,0.78856,0.87495,0.47126,1.53783,0.95092,1.6337,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1191.48,1.52006,1.19356,1.59013,0.87406,0.78222,0.88002,0.4786,1.5314,0.9103,1.62548,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1369.1,1.49165,1.15364,1.56318,0.8804,0.80762,0.89345,0.50883,1.49045,0.86001,1.58831,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1538.86,1.46413,1.1066,1.54164,0.89821,0.83302,0.90756,0.5197,1.44727,0.8218,1.53966,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1708.9,1.448,1.07508,1.52043,0.9136,0.84525,0.92064,0.54149,1.43253,0.76768,1.51129,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1879.14,1.42515,1.03886,1.50599,0.91367,0.85469,0.92466,0.54116,1.41594,0.76495,1.50789,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2052.54,1.40491,1.02076,1.48911,0.91539,0.84908,0.92858,0.55064,1.40149,0.7593,1.48521,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2230.66,1.40284,0.99367,1.48073,0.9192,0.84946,0.92719,0.55382,1.39165,0.74455,1.47509,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2399.72,1.37904,0.97274,1.46718,0.92643,0.86553,0.93987,0.56876,1.36889,0.70207,1.45816,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2567.39,1.376,0.95369,1.46057,0.9253,0.8791,0.94161,0.56822,1.37334,0.69415,1.45167,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2731.51,1.35575,0.94169,1.4458,0.9229,0.88905,0.94389,0.57838,1.35039,0.67536,1.4334,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2899.27,1.34186,0.9153,1.43257,0.9327,0.88527,0.94633,0.58712,1.33278,0.66781,1.42005,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3070.09,1.33949,0.90683,1.4273,0.92472,0.89989,0.95223,0.59387,1.30769,0.63923,1.39349,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3251.31,1.32576,0.896,1.42019,0.94199,0.89503,0.95633,0.6047,1.29204,0.62563,1.38507,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
