epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6616,1.53176,2.15827,1.7037,0.66866,0.59754,0.64137,0.26081,1.92762,1.65169,2.16056,0.000665205,0.000665205,0.000665205
2,182.292,1.57964,1.26905,1.74598,0.76216,0.76344,0.81396,0.40244,1.63958,1.25063,1.88989,0.00126594,0.00126594,0.00126594
3,266.221,1.51978,1.11633,1.70048,0.78192,0.82137,0.84746,0.42733,1.63706,1.09264,1.91846,0.00180068,0.00180068,0.00180068
4,350.113,1.49409,1.05513,1.68217,0.86817,0.84376,0.89814,0.48136,1.52528,0.89062,1.82277,0.001703,0.001703,0.001703
5,434.085,1.44372,0.96952,1.63452,0.88547,0.86189,0.90719,0.49676,1.4971,0.84033,1.75725,0.001604,0.001604,0.001604
6,517.904,1.4075,0.91953,1.59746,0.92366,0.88149,0.93557,0.53111,1.44422,0.74914,1.72026,0.001505,0.001505,0.001505
7,601.758,1.38552,0.88729,1.58291,0.90664,0.87165,0.92507,0.52454,1.43985,0.78912,1.70789,0.001406,0.001406,0.001406
8,685.549,1.35007,0.84329,1.55083,0.90653,0.87206,0.92205,0.54004,1.41452,0.73724,1.70992,0.001307,0.001307,0.001307
9,769.441,1.33943,0.8181,1.54237,0.92874,0.91809,0.94648,0.56443,1.35412,0.67718,1.63729,0.001208,0.001208,0.001208
10,853.287,1.31472,0.78844,1.52346,0.92788,0.92607,0.94912,0.57034,1.34432,0.66325,1.63211,0.001109,0.001109,0.001109
11,937.072,1.33436,0.67965,1.58701,0.93131,0.90674,0.94546,0.57158,1.32952,0.67452,1.61464,0.00101,0.00101,0.00101
12,1019.2,1.29938,0.65245,1.56565,0.94337,0.92254,0.95374,0.58902,1.29236,0.65546,1.59401,0.000911,0.000911,0.000911
13,1101.76,1.27613,0.63302,1.54567,0.94579,0.91881,0.95572,0.5938,1.29635,0.6259,1.58876,0.000812,0.000812,0.000812
14,1185.18,1.25067,0.60751,1.52219,0.9476,0.92583,0.95584,0.60488,1.25713,0.61251,1.559,0.000713,0.000713,0.000713
15,1268.23,1.23073,0.58883,1.50247,0.94256,0.93616,0.95983,0.6116,1.24721,0.58856,1.53843,0.000614,0.000614,0.000614
16,1351.2,1.2053,0.57486,1.47802,0.94861,0.93174,0.95912,0.62434,1.21137,0.57714,1.51165,0.000515,0.000515,0.000515
17,1433.27,1.18135,0.55467,1.45429,0.95253,0.93702,0.96172,0.63012,1.1985,0.56234,1.50023,0.000416,0.000416,0.000416
18,1515.39,1.16175,0.54276,1.4401,0.95246,0.93768,0.96123,0.63621,1.18915,0.55567,1.49557,0.000317,0.000317,0.000317
19,1597.54,1.13412,0.52683,1.41877,0.95766,0.94141,0.96359,0.64546,1.16664,0.53808,1.4712,0.000218,0.000218,0.000218
20,1679.93,1.11917,0.51037,1.40581,0.95668,0.94426,0.96572,0.6507,1.15239,0.52618,1.45546,0.000119,0.000119,0.000119
