epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.209,1.42674,1.57939,1.41321,0.85832,0.82823,0.88356,0.46997,1.54372,0.96533,1.50864,0.00998902,0.00332967,0.00998902,0.00332967,0.00998902,0.00332967,0.00998902,0.00332967
2,453.851,1.46597,1.08236,1.45148,0.86965,0.82426,0.88831,0.46817,1.56455,0.91439,1.58929,0.0197911,0.00659704,0.0197911,0.00659704,0.0197911,0.00659704,0.0197911,0.00659704
3,647.818,1.53272,1.12211,1.51264,0.69759,0.64033,0.68483,0.30981,1.83505,1.38606,1.83959,0.0293952,0.00979841,0.0293952,0.00979841,0.0293952,0.00979841,0.0293952,0.00979841
4,838.46,1.54516,1.12295,1.53607,0.79744,0.77667,0.83184,0.43142,1.6148,0.99938,1.67094,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1015.12,1.48204,1.01632,1.48668,0.8783,0.84414,0.89595,0.48848,1.49364,0.88043,1.53924,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1189.79,1.4412,0.9567,1.45573,0.89165,0.85598,0.90976,0.51267,1.48203,0.82208,1.5152,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1345.33,1.4196,0.91308,1.43466,0.91951,0.89999,0.93184,0.53788,1.42524,0.72043,1.48235,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1521.15,1.38814,0.87599,1.41041,0.89743,0.88132,0.92588,0.54061,1.39245,0.73142,1.45009,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1699.62,1.376,0.8497,1.39832,0.92401,0.90187,0.9381,0.5572,1.37393,0.69372,1.43657,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1879.42,1.35535,0.83098,1.38912,0.93155,0.91288,0.94304,0.56919,1.34974,0.64897,1.39418,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2070.53,1.33889,0.81096,1.37679,0.92783,0.91178,0.94128,0.57202,1.32433,0.6437,1.38327,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2250.4,1.33098,0.78967,1.36621,0.92432,0.92196,0.94385,0.57279,1.34715,0.63954,1.38741,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2429.6,1.32525,0.77898,1.35561,0.93656,0.92323,0.94872,0.57865,1.33385,0.62429,1.38193,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2610.23,1.30779,0.77216,1.34705,0.93723,0.91744,0.9483,0.58013,1.30727,0.62909,1.37636,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2795.12,1.29928,0.75878,1.33774,0.9267,0.92254,0.94658,0.58335,1.3073,0.61748,1.36735,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2978.91,1.28891,0.7501,1.33109,0.93793,0.92854,0.94593,0.58534,1.29788,0.59346,1.35517,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3164.69,1.28341,0.74055,1.33224,0.94505,0.92469,0.94601,0.58576,1.29093,0.59099,1.35261,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3345.42,1.27347,0.72652,1.31992,0.94315,0.92846,0.95323,0.59723,1.27277,0.57177,1.33374,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3524.19,1.27128,0.7221,1.31419,0.93554,0.93592,0.95224,0.6033,1.2618,0.58108,1.31824,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3706.05,1.25072,0.71211,1.30421,0.93435,0.94009,0.95619,0.60845,1.24736,0.56986,1.31288,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
